event_id,source_ip,username,failed_attempts_10m,unique_usernames_10m,login_hour,geo_risk_score,ip_reputation_score,login_velocity_1h,success_ratio_1h,device_change_flag,is_anomaly,scenario,predicted_anomaly,anomaly_score
EVT-02578,10.246.46.129,user_897,47,3,1,59.64,70.17,95.54,0.026,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02444,10.23.205.21,user_350,23,3,1,67.52,79.47,105.42,0.045,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02633,10.97.90.28,user_772,21,9,1,76.88,82.49,110.07,0.083,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02546,10.206.127.174,user_139,43,3,4,88.96,90.34,47.3,0.059,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02712,10.66.17.83,user_848,8,16,2,55.08,82.47,82.41,0.249,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02651,10.214.119.134,user_311,21,27,2,60.46,74.51,132.88,0.144,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02734,10.217.73.188,user_232,15,27,2,65.94,80.41,149.74,0.167,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02660,10.54.110.230,user_272,14,20,1,85.07,76.4,55.87,0.263,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02713,10.185.52.122,user_235,22,22,0,65.79,95.69,129.85,0.1,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02694,10.155.14.53,user_979,21,22,5,54.41,90.57,73.15,0.116,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02470,10.98.39.194,user_963,48,4,1,76.63,85.79,101.05,0.0,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02696,10.171.190.244,user_874,18,13,3,59.2,77.31,128.34,0.108,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02658,10.129.75.9,user_553,18,11,0,87.98,84.87,104.44,0.174,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02412,10.214.82.100,user_214,20,4,0,66.11,89.5,91.25,0.067,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02446,10.85.29.91,user_423,32,3,3,46.21,83.92,51.5,0.077,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02445,10.237.15.156,user_347,37,4,4,86.47,71.48,117.72,0.001,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02432,10.60.139.187,user_238,20,3,3,58.91,87.88,91.84,0.035,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02760,10.167.192.122,user_316,10,29,1,86.44,83.67,143.26,0.176,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02727,10.47.9.245,user_212,9,16,5,72.72,86.69,201.88,0.098,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02451,10.14.93.239,user_529,30,3,2,81.6,84.06,103.39,0.098,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02591,10.156.77.79,user_241,18,19,2,53.73,83.17,134.0,0.268,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02735,10.164.92.197,user_857,19,12,0,71.45,91.18,81.06,0.155,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02666,10.88.69.207,user_217,20,26,4,65.09,78.71,110.15,0.121,1,1,credential_stuffing_T1110,1,0.18591764605532957
EVT-02433,10.150.104.171,user_845,27,4,1,79.28,82.52,99.24,0.048,1,1,brute_force_T1110,1,0.18591764605532957
EVT-02516,10.211.57.77,user_196,27,3,2,50.41,73.92,91.3,0.022,1,1,brute_force_T1110,1,0.18591764605532957
