event_id,source_ip,username,failed_attempts_10m,unique_usernames_10m,login_hour,geo_risk_score,ip_reputation_score,login_velocity_1h,success_ratio_1h,device_change_flag,is_anomaly,scenario
EVT-00368,10.120.234.39,user_303,1,1,10,27.77,19.03,14.38,0.81,0,0,legitimate_login_activity
EVT-01294,10.11.220.57,user_868,0,2,7,29.61,16.4,10.09,0.737,0,0,legitimate_login_activity
EVT-02107,10.119.80.198,user_712,1,2,15,23.41,30.28,5.88,0.768,0,0,legitimate_login_activity
EVT-02331,10.146.208.59,user_708,0,1,8,15.58,13.54,7.42,0.671,0,0,legitimate_login_activity
EVT-00522,10.234.142.116,user_522,0,2,9,14.87,15.59,1.79,0.891,0,0,legitimate_login_activity
EVT-00818,10.227.25.120,user_245,1,1,9,17.38,31.57,10.87,0.723,0,0,legitimate_login_activity
EVT-00323,10.153.81.234,user_528,0,1,14,16.28,21.84,1.96,0.939,0,0,legitimate_login_activity
EVT-01629,10.2.52.176,user_664,0,1,12,28.59,18.38,13.93,0.939,0,0,legitimate_login_activity
EVT-00366,10.21.213.192,user_938,1,2,17,8.33,1.24,10.29,0.871,0,0,legitimate_login_activity
EVT-02554,10.204.22.193,user_853,15,1,3,77.25,79.79,99.16,0.084,1,1,brute_force_T1110
EVT-01764,10.74.211.224,user_671,2,1,7,12.64,2.5,6.41,0.899,0,0,legitimate_login_activity
EVT-00534,10.180.77.188,user_606,0,1,7,8.16,9.43,5.82,0.868,0,0,legitimate_login_activity
EVT-02060,10.139.204.234,user_338,0,1,16,19.38,12.1,0.0,0.857,0,0,legitimate_login_activity
EVT-02334,10.217.229.106,user_692,0,1,10,18.41,16.98,3.77,0.919,0,0,legitimate_login_activity
EVT-02724,10.200.205.129,user_866,21,9,22,46.34,78.87,136.62,0.111,0,1,credential_stuffing_T1110
EVT-00240,10.126.60.153,user_527,1,2,7,18.72,29.02,7.85,0.954,0,0,legitimate_login_activity
EVT-01269,10.6.216.27,user_735,0,1,21,8.73,22.53,15.68,0.998,0,0,legitimate_login_activity
EVT-01214,10.158.184.236,user_270,0,1,15,10.09,22.89,9.36,1.0,0,0,legitimate_login_activity
EVT-02551,10.229.113.137,user_710,27,2,0,76.21,85.66,56.4,0.065,1,1,brute_force_T1110
EVT-00706,10.52.244.138,user_948,0,1,20,21.17,19.77,9.37,0.884,0,0,legitimate_login_activity
EVT-01861,10.137.213.181,user_706,0,2,9,27.47,25.02,7.8,0.868,0,0,legitimate_login_activity
EVT-00928,10.238.194.213,user_626,0,1,8,20.24,22.05,6.14,0.788,0,0,legitimate_login_activity
EVT-02379,10.5.123.144,user_223,2,1,20,27.52,7.96,9.38,0.962,0,0,legitimate_login_activity
EVT-01878,10.142.133.72,user_227,1,1,15,20.65,14.68,13.69,0.794,0,0,legitimate_login_activity
EVT-01266,10.70.175.17,user_758,1,1,12,17.46,17.67,7.19,0.707,0,0,legitimate_login_activity
EVT-01019,10.201.122.204,user_539,0,1,11,19.69,13.0,9.73,0.875,1,0,legitimate_login_activity
EVT-02494,10.84.117.218,user_437,35,1,3,77.58,92.37,92.34,0.006,1,1,brute_force_T1110
EVT-00832,10.156.107.53,user_592,0,1,8,22.03,12.06,7.4,0.904,0,0,legitimate_login_activity
EVT-01454,10.247.2.200,user_152,0,1,10,6.9,23.92,14.7,0.825,0,0,legitimate_login_activity
EVT-01062,10.15.160.242,user_757,0,1,21,15.63,20.19,11.78,0.887,0,0,legitimate_login_activity
EVT-00487,10.68.132.201,user_163,1,1,22,18.14,22.69,8.47,0.741,0,0,legitimate_login_activity
EVT-01658,10.98.213.197,user_312,1,2,13,16.63,30.02,9.44,1.0,0,0,legitimate_login_activity
EVT-01835,10.9.184.136,user_877,1,1,12,14.54,29.81,0.39,0.943,0,0,legitimate_login_activity
EVT-01339,10.72.36.69,user_124,0,1,16,18.58,8.1,15.95,0.749,0,0,legitimate_login_activity
EVT-02514,10.134.6.78,user_138,31,2,1,58.56,77.36,86.96,0.058,0,1,brute_force_T1110
EVT-01243,10.28.134.87,user_376,1,1,11,15.49,29.85,2.28,0.937,0,0,legitimate_login_activity
EVT-00868,10.55.199.143,user_590,1,1,8,11.3,23.05,14.6,1.0,1,0,legitimate_login_activity
EVT-02757,10.238.29.240,user_245,19,27,0,69.53,67.07,64.17,0.133,0,1,credential_stuffing_T1110
EVT-02415,10.54.51.124,user_171,23,2,3,88.36,100.0,99.66,0.099,0,1,brute_force_T1110
EVT-01836,10.213.28.21,user_368,0,1,17,22.8,29.71,11.51,0.864,0,0,legitimate_login_activity
EVT-00461,10.250.73.89,user_651,0,1,11,21.34,29.65,6.42,0.861,0,0,legitimate_login_activity
EVT-01045,10.194.21.181,user_635,0,2,12,25.96,24.79,2.8,0.963,0,0,legitimate_login_activity
EVT-01072,10.245.143.68,user_118,0,1,10,17.27,24.84,3.89,0.805,0,0,legitimate_login_activity
EVT-00760,10.14.94.171,user_685,0,2,9,25.58,30.16,13.8,0.875,0,0,legitimate_login_activity
EVT-02374,10.131.133.181,user_386,0,1,18,26.46,32.37,5.95,0.689,0,0,legitimate_login_activity
EVT-00747,10.121.225.57,user_744,2,2,16,16.05,19.76,6.06,0.798,0,0,legitimate_login_activity
EVT-00176,10.79.235.37,user_956,0,1,20,14.52,21.48,13.07,0.773,0,0,legitimate_login_activity
EVT-00195,10.28.14.103,user_632,0,2,10,15.3,10.65,7.42,1.0,0,0,legitimate_login_activity
EVT-00299,10.191.156.130,user_621,1,1,16,19.62,18.66,6.79,0.666,0,0,legitimate_login_activity
EVT-00496,10.220.42.1,user_734,0,1,13,16.81,29.15,1.57,0.784,0,0,legitimate_login_activity
EVT-01134,10.184.207.234,user_117,0,1,21,18.5,29.57,8.34,0.937,0,0,legitimate_login_activity
EVT-02734,10.217.73.188,user_232,15,27,2,65.94,80.41,149.74,0.167,1,1,credential_stuffing_T1110
EVT-01643,10.102.151.47,user_678,1,1,17,11.4,21.19,12.77,0.824,0,0,legitimate_login_activity
EVT-02534,10.187.106.185,user_731,21,3,0,72.51,83.81,70.81,0.131,1,1,brute_force_T1110
EVT-00179,10.147.40.116,user_414,1,1,7,9.01,9.41,9.13,0.897,0,0,legitimate_login_activity
EVT-01603,10.119.227.100,user_800,0,1,22,16.98,21.0,10.34,1.0,0,0,legitimate_login_activity
EVT-01270,10.40.132.155,user_160,0,1,19,21.42,35.99,10.31,0.909,0,0,legitimate_login_activity
EVT-02674,10.108.181.18,user_302,24,13,3,100.0,86.88,133.57,0.218,1,1,credential_stuffing_T1110
EVT-01877,10.113.8.121,user_731,0,1,8,9.52,13.83,8.95,0.928,0,0,legitimate_login_activity
EVT-01776,10.101.144.63,user_200,0,1,8,11.41,15.83,19.77,0.821,0,0,legitimate_login_activity
EVT-01944,10.116.84.40,user_887,0,1,15,20.08,17.68,17.28,0.955,0,0,legitimate_login_activity
EVT-02689,10.252.223.188,user_539,21,22,2,63.92,75.24,132.57,0.058,1,1,credential_stuffing_T1110
EVT-01492,10.35.217.82,user_953,2,1,20,22.58,30.96,12.94,0.874,0,0,legitimate_login_activity
EVT-00033,10.61.174.162,user_496,0,1,9,13.55,35.47,9.69,0.726,0,0,legitimate_login_activity
EVT-01727,10.23.103.218,user_289,0,1,15,13.3,23.84,17.37,0.819,0,0,legitimate_login_activity
EVT-00234,10.25.133.157,user_756,0,1,11,4.96,33.28,4.47,0.998,0,0,legitimate_login_activity
EVT-01449,10.96.128.13,user_834,0,1,12,10.53,10.35,3.6,0.866,1,0,legitimate_login_activity
EVT-01124,10.30.251.61,user_351,0,2,15,29.26,23.49,10.34,0.715,0,0,legitimate_login_activity
EVT-01704,10.73.140.176,user_975,1,1,21,20.81,12.3,20.52,0.921,0,0,legitimate_login_activity
EVT-01178,10.19.16.252,user_162,0,2,10,17.28,25.44,14.59,0.645,0,0,legitimate_login_activity
EVT-02232,10.203.35.150,user_274,0,1,11,18.6,31.92,14.34,0.728,0,0,legitimate_login_activity
EVT-00795,10.234.100.47,user_861,0,1,18,20.97,38.52,17.49,0.807,0,0,legitimate_login_activity
EVT-01358,10.199.212.240,user_359,0,1,7,3.64,28.91,10.48,0.929,0,0,legitimate_login_activity
EVT-01594,10.19.216.151,user_262,0,1,7,24.19,17.85,15.0,0.864,0,0,legitimate_login_activity
EVT-00650,10.233.1.82,user_286,0,1,8,18.78,36.64,0.0,0.763,0,0,legitimate_login_activity
EVT-02438,10.156.241.93,user_924,36,1,3,76.07,81.8,72.55,0.039,1,1,brute_force_T1110
EVT-02277,10.121.77.157,user_412,0,1,7,3.31,11.36,8.52,0.973,0,0,legitimate_login_activity
EVT-00437,10.106.217.134,user_230,0,1,16,32.99,14.02,12.98,0.809,0,0,legitimate_login_activity
EVT-02365,10.108.122.248,user_929,2,1,16,22.86,21.33,13.63,0.924,0,0,legitimate_login_activity
EVT-00472,10.202.149.200,user_495,1,1,7,18.21,6.88,1.97,0.861,0,0,legitimate_login_activity
EVT-01613,10.35.18.217,user_594,0,1,8,13.33,2.0,14.3,0.862,0,0,legitimate_login_activity
EVT-02759,10.53.109.47,user_844,14,17,22,66.74,72.82,203.91,0.119,1,1,credential_stuffing_T1110
EVT-02563,10.10.12.14,user_509,39,1,2,64.92,67.69,109.63,0.084,1,1,brute_force_T1110
EVT-01821,10.229.1.180,user_775,1,1,7,6.76,20.06,3.44,0.891,0,0,legitimate_login_activity
EVT-01642,10.173.85.23,user_374,2,1,9,21.38,28.37,14.61,0.738,0,0,legitimate_login_activity
EVT-00730,10.66.118.149,user_410,1,1,7,28.68,18.34,7.16,0.864,0,0,legitimate_login_activity
EVT-01964,10.73.190.107,user_810,0,1,13,6.49,30.12,14.96,0.831,0,0,legitimate_login_activity
EVT-01419,10.87.84.84,user_112,0,1,9,18.16,19.34,9.77,0.981,0,0,legitimate_login_activity
EVT-01450,10.39.195.90,user_281,0,1,10,6.82,21.79,8.68,0.708,0,0,legitimate_login_activity
EVT-01633,10.217.149.193,user_958,0,1,22,22.75,22.79,6.98,0.811,0,0,legitimate_login_activity
EVT-01879,10.195.152.65,user_189,0,1,13,27.58,19.89,16.26,0.84,1,0,legitimate_login_activity
EVT-00943,10.92.240.160,user_462,1,1,15,19.38,26.28,10.52,1.0,0,0,legitimate_login_activity
EVT-01488,10.87.150.167,user_310,2,1,22,27.97,21.06,8.42,0.846,0,0,legitimate_login_activity
EVT-00810,10.98.192.69,user_584,1,1,11,2.24,26.1,10.09,1.0,0,0,legitimate_login_activity
EVT-02565,10.149.19.204,user_922,21,2,3,77.89,80.63,101.37,0.14,1,1,brute_force_T1110
EVT-00970,10.242.33.89,user_585,1,1,17,28.28,14.56,18.13,0.633,0,0,legitimate_login_activity
EVT-00917,10.106.248.63,user_206,1,1,19,8.08,28.2,9.31,0.838,0,0,legitimate_login_activity
EVT-02181,10.239.244.80,user_104,2,1,18,15.72,26.53,5.39,0.805,1,0,legitimate_login_activity
EVT-02080,10.69.254.70,user_298,0,2,11,12.16,22.05,7.03,0.752,0,0,legitimate_login_activity
EVT-01356,10.88.217.108,user_870,0,1,14,22.6,10.16,6.59,0.795,0,0,legitimate_login_activity
EVT-02081,10.166.42.234,user_591,0,2,18,22.8,0.41,6.51,0.925,0,0,legitimate_login_activity
EVT-00544,10.33.146.228,user_283,0,2,20,5.41,21.87,17.86,0.723,0,0,legitimate_login_activity
EVT-00074,10.230.33.116,user_839,0,1,16,25.47,42.88,9.91,0.892,0,0,legitimate_login_activity
EVT-00388,10.127.216.135,user_238,0,3,7,13.93,1.92,7.07,0.83,1,0,legitimate_login_activity
EVT-00310,10.77.107.147,user_517,1,1,16,20.81,25.29,6.91,0.851,1,0,legitimate_login_activity
EVT-02349,10.214.28.152,user_953,1,1,18,16.48,0.0,10.18,0.929,0,0,legitimate_login_activity
EVT-00558,10.145.68.193,user_117,0,1,9,17.03,16.77,7.39,0.949,0,0,legitimate_login_activity
EVT-00510,10.36.6.234,user_642,0,1,8,21.44,9.78,11.16,0.993,0,0,legitimate_login_activity
EVT-01476,10.222.66.123,user_122,1,1,21,24.88,0.0,10.55,0.871,0,0,legitimate_login_activity
